race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202605020909,カーネーションカップ(1勝クラス) 出馬表 | 2026年5月23日 東京9R レース情報(JRA) - netkeiba,1,1,ハーディジェナー,牝3,55.0,ディー,美浦西田,86.6,12
202605020909,カーネーションカップ(1勝クラス) 出馬表 | 2026年5月23日 東京9R レース情報(JRA) - netkeiba,2,2,ルージュリリック,牝3,55.0,佐々木,美浦上原佑,29.5,5
202605020909,カーネーションカップ(1勝クラス) 出馬表 | 2026年5月23日 東京9R レース情報(JRA) - netkeiba,3,3,ヴェガリア,牝3,55.0,横山武,美浦栗田,82.6,11
202605020909,カーネーションカップ(1勝クラス) 出馬表 | 2026年5月23日 東京9R レース情報(JRA) - netkeiba,4,4,ロザーンジュ,牝3,55.0,田辺,栗東寺島,19.1,3
202605020909,カーネーションカップ(1勝クラス) 出馬表 | 2026年5月23日 東京9R レース情報(JRA) - netkeiba,5,5,ヴァリスマリネリス,牝3,55.0,津村,美浦中舘,43.1,6
202605020909,カーネーションカップ(1勝クラス) 出馬表 | 2026年5月23日 東京9R レース情報(JRA) - netkeiba,6,5,サンブライト,牝3,55.0,横山典,美浦鈴木慎,79.1,10
202605020909,カーネーションカップ(1勝クラス) 出馬表 | 2026年5月23日 東京9R レース情報(JRA) - netkeiba,7,6,シルバーリム,牝3,55.0,国分優,栗東中村,46.1,8
202605020909,カーネーションカップ(1勝クラス) 出馬表 | 2026年5月23日 東京9R レース情報(JRA) - netkeiba,8,6,ガーヴィ,牝3,55.0,大野,美浦村田,21.1,4
202605020909,カーネーションカップ(1勝クラス) 出馬表 | 2026年5月23日 東京9R レース情報(JRA) - netkeiba,9,7,ファンクション,牝3,55.0,原,美浦斎藤誠,49.1,9
202605020909,カーネーションカップ(1勝クラス) 出馬表 | 2026年5月23日 東京9R レース情報(JRA) - netkeiba,10,7,イクシード,牝3,55.0,ルメール,美浦木村,1.4,1
202605020909,カーネーションカップ(1勝クラス) 出馬表 | 2026年5月23日 東京9R レース情報(JRA) - netkeiba,11,8,レディーゴール,牝3,55.0,荻野極,美浦斎藤誠,45.4,7
202605020909,カーネーションカップ(1勝クラス) 出馬表 | 2026年5月23日 東京9R レース情報(JRA) - netkeiba,12,8,エンジョイドアスク,牝3,55.0,レーン,美浦堀,3.0,2
